index,type,name,resident,streamed,parentStack
1,string,,0,0,||assetlist
2,localize,DLC2_AEROSPACE,21,0,||assetlist
3,localize,DLC2_AEROSPACE_CAPS,26,0,||assetlist
4,localize,DLC2_AEROSPACE_LOC,62,0,||assetlist
5,localize,DLC2_AR_GARAND_UPGRADED,58,0,||assetlist
6,localize,DLC2_BANZAI,18,0,||assetlist
7,localize,DLC2_BANZAI_CAPS,23,0,||assetlist
8,localize,DLC2_BANZAI_LOC,26,0,||assetlist
9,localize,DLC2_CONDUIT,18,0,||assetlist
10,localize,DLC2_CONDUIT_CAPS,23,0,||assetlist
11,localize,DLC2_CONDUIT_LOC,36,0,||assetlist
12,localize,DLC2_DESC_MAP_AEROSPACE,85,0,||assetlist
13,localize,DLC2_DESC_MAP_BANZAI,182,0,||assetlist
14,localize,DLC2_DESC_MAP_CONDUIT,71,0,||assetlist
15,localize,DLC2_DESC_MAP_KUNG_FU,133,0,||assetlist
16,localize,DLC2_DESC_MAP_ZM_ISLAND,157,0,||assetlist
17,localize,DLC2_ISLAND,25,0,||assetlist
18,localize,DLC2_ISLAND_CAPS,17,0,||assetlist
19,localize,DLC2_ISLAND_LOC,35,0,||assetlist
20,localize,DLC2_KUNG_FU,22,0,||assetlist
21,localize,DLC2_KUNG_FU_CAPS,27,0,||assetlist
22,localize,DLC2_KUNG_FU_LOC,45,0,||assetlist
23,localize,DLC2_PISTOL_SHOTGUN_DW_UPGRADED,58,0,||assetlist
24,localize,DLC2_PRESENCE_ZM_ISLAND,24,0,||assetlist
25,localize,DLC2_SMG_LONGRANGE_UPGRADED,53,0,||assetlist
26,localize,DLC2_SMG_MP40_UPGRADED,51,0,||assetlist
27,localize,DLC2_SPIDER_CONTROL_WEAPON,40,0,||assetlist
28,localize,DLC2_WEAPON_HERO_ZM_ISLAND_WW,43,0,||assetlist
29,localize,DLC2_WEAPON_HERO_ZM_ISLAND_WW_UPGRADED,46,0,||assetlist
30,localize,DLC3_CRYOGEN,21,0,||assetlist
31,localize,DLC3_CRYOGEN_CAPS,26,0,||assetlist
32,localize,DLC3_CRYOGEN_LOC,24,0,||assetlist
